# Thu, 24 Oct 2019 03:35:06 PM +0000
#  Spec File Name :YbAl3_1.spec_supplementary.dat
#  Scan numbers :[129, 132, 134]
#  Energy Shift of Elastic Peak (meV) :[0.23516477279430179, -1.0949889876455359, -0.6295924678368008]
#  Q_5 [2.133, 2.131, 0.100] 
#   T_sample =9.7551 K
-4.724846072794301577e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.306876802478750932e+00 3.926656562705786779e+00 1.981579310223485990e+00
-3.832821539103987707e+00 9.830477610869925442e+00 3.135359247497792712e+00
-3.334088172437321251e+00 3.918489629502260208e+00 1.979517524424136088e+00
-2.845321505770654458e+00 4.905891568452564577e+00 2.214924732006160912e+00
-2.336654872437321728e+00 1.862815372537400904e+01 4.316034490753521524e+00
-1.837921539103988477e+00 2.551477751885020240e+01 5.051215449656666578e+00
-1.339221522437321843e+00 5.859490010863878240e+01 7.654730570610489337e+00
-8.405215224373216998e-01 1.547944658481168005e+02 1.244164240959033485e+01
-3.318215224373217143e-01 3.151533475626963536e+02 1.775255890182303631e+01
1.669118108960115920e-01 3.012449467816626338e+02 1.735640938620838725e+01
6.556451442293449450e-01 2.054331085213578945e+02 1.433293788870090246e+01
1.164345160896011588e+00 1.024021279114300711e+02 1.011939365334850827e+01
1.663045160896011732e+00 4.422357191210822691e+01 6.650080594406975187e+00
2.161778460896011556e+00 2.566045650301744629e+01 5.065615115957532666e+00
2.660478460896011921e+00 2.652208208209865603e+01 5.149959425286636083e+00
3.169178460896011629e+00 1.970348030103264492e+01 4.438860247972743700e+00
3.667911827562678528e+00 1.972841255395214333e+01 4.441667767173963277e+00
4.156645160896011326e+00 4.932074822988399276e+00 2.220827508607635892e+00
4.665345127562678051e+00 2.078519684874670759e+01 4.559078508728129364e+00
5.164045127562678417e+00 5.423688795555702313e+01 7.364569773962157839e+00
5.662745127562678782e+00 7.897158714783697064e+01 8.886595925765780279e+00
6.161478494229345237e+00 1.402044761203673033e+02 1.184079710662957474e+01
6.670178494229344501e+00 2.004377751223457835e+02 1.415760485118672207e+01
7.168911794229344991e+00 1.571730563029855148e+02 1.253686788248905160e+01
7.657645127562678233e+00 1.134575848148377020e+02 1.065164704704571541e+01
8.166278460896011282e+00 8.031290533460446568e+01 8.961746779205741475e+00
8.665011794229345199e+00 6.728735754781254741e+01 8.202887147085014874e+00
9.163745160896011654e+00 6.639391674779407992e+01 8.148246237552843496e+00
9.662478460896011256e+00 1.197110504967169788e+02 1.094125452115601682e+01
1.016121189422934457e+01 1.922309232842850975e+02 1.386473668283264260e+01
1.065991189422934582e+01 2.954786360154428166e+02 1.718949202319378600e+01
1.115857856089601263e+01 2.936933145316052105e+02 1.713748273614316986e+01
1.166727856089601012e+01 2.556059191126809083e+02 1.598768022924779686e+01
1.216601189422934404e+01 1.975320405649760005e+02 1.405460922846935645e+01
1.265477856089601261e+01 1.304088217593784123e+02 1.141966819830499347e+01
1.316344522756267743e+01 6.076653099687518989e+01 7.795289025871663391e+00
1.366217856089600957e+01 4.086465537313090124e+01 6.392546861238555422e+00
1.416087856089601082e+01 2.887550234163923335e+01 5.373593056944230284e+00
1.465957856089601030e+01 1.393209907061388719e+01 3.732572714712184769e+00
1.516827856089601134e+01 1.196183334024787115e+01 3.458588345011281096e+00
1.566701189422934526e+01 9.966909393023684061e+00 3.157041240310884067e+00
1.615574522756267939e+01 5.982865310375330203e+00 2.445989638239567388e+00
1.666444522756267688e+01 6.981145649524481911e+00 2.642185771198626743e+00
1.716314522756267991e+01 9.991386184972212980e-01 9.995692164613820818e-01
1.766187856089601382e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.816057856089600975e+01 1.000111982549196865e+00 1.000055989707174797e+00
